title,image,product_link,sku:,upc:,project_type:,skill:,difficulty:,info,description,review_count,star_rating,occasion:,season:,theme:,fiber_content:,yarn_weight:,thread_size:
Premier Crochet Ponytail Hat Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-crochet-ponytail-hat-free-download/,F01547,,Hat,Crochet,Easy,F01547  Hat Crochet Easy,"Keep your head warm without squishing your hairstyle! Cleverly designed to accommodate a ponytail or bun, this fun and easy crochet hat stitches up quickly and makes a great gift—or to keep for yourself! The easy crochet hat pattern is stitched in Premier Yarns Puzzle yarn, a self-striping yarn that makes colorwork effortless. Skill Level: Easy Size: Adult Medium (Large) Materials: Premier® Yarns Puzzle • 0002 Jigsaw—1 ball Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,4,,,,,,
Merry Little Granny Mitts Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/merry-little-granny-mitts-free-download/,W00570,,Gloves & Mittens,Crochet,Easy,W00570  4 - Medium Gloves & Mittens Crochet Easy,"Keep your hands warm and festive with granny square fingerless mitts! This quick and easy crochet pattern is perfect for beginners, as each mitt is constructed from two granny squares with an added cuff. The pair is crocheted in classic Christmas hues of Willow Wash Worsted yarn for a fun and festive holiday accessory, but the simple pattern can easily be adapted to any colorway to keep you cozy all winter long! Skill Level: Easy Size: 7¾"" x 5¾"" (19.7cm x 14.6cm) Materials: Willow Yarns Wash Worsted • 0023 Cream—1 ball • 0010 Sage—1 ball • 0002 Cranberry—1 ball Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",4,5,,,,,4 - Medium,
Kiss Me Under the Mistletoe Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/kiss-me-under-the-mistletoe-free-download/,W00576,,Home Décor,Knit,Easy,W00576  2 - Fine Home Décor Knit Easy,"This sprig of mistletoe lets you decorate for Christmas with a natural flair a hint of sparkle! Knit in Willow Jubilee yarn with crochet berry accents, this decorative sprig of mistletoe brings a Christmas tradition into the modern age with a glitzy sparkle. Skill Level: Easy Size: 11"" (28cm) length Materials: Willow Yarns Jubilee • 0961 Juniper—1 ball • 0938 Sugar Cookie—1 ball • 0937 Winter Berry—1 ball Needles: US size 4 (3.5mm) dpn or size needed to obtain gauge Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",2,3,,,,,2 - Fine,
Lion Brand Craft Big Bird Wreath Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/lion-brand-craft-big-bird-wreath-free-download/,L22050,,Home Décor,Yarn Crafts,Easy,L22050  Home Décor Yarn Crafts Easy,"Create a quick and easy wreath inspired by Sesame Street’s Big Bird! This fun yarn project using Lion Brand Sesame Street Fuzzy Friends yarn requires no knitting or crocheting skills, so it’s a perfect project for any crafter—even kids! The yellow feathery texture of the wreath adds a pop of sunshine to your home, and the addition of printed Big Bird eyes adds a fun detail that will delight kids and kids at heart. Skill Level: Beginner Size: 14"" (36cm) dia. Materials: Lion Brand Sesame Street Fuzzy Friends • 0158 Big Bird Yellow—1 ball Extras: 14"" (36cm) dia. wire wreath frame, printed eyes, craft glue.",0,0,,,,,,
Premier Dragon Fruit Ankle Socks Knit Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-dragon-fruit-ankle-socks-knit-free-download/,F01491,,,Knit,Intermediate,F01491  Knit Intermediate,"Keep toes cozy and colorful with low-rise ankle socks. This knit sock pattern blends sock and slipper styles for low-rise ankle socks perfect for a lazy day around the house. This simple knit ankle sock pattern goes from ordinary to extraordinary when knit in the self-patterning Premier Fruits sock yarn. This self-striping sock yarn pairs bands of solid color with speckled patterns inspired by your favorite fruits. Knit a pair in every color to brighten up your sock drawer! Skill Level: Intermediate Size: Adult X-Small (Small, Medium, Large, X-Large) Materials: Premier Yarns Fruits • Dragon Fruit or Color of Choice—1 (1, 2, 2, 2) balls Needles: US size 2 (2.75mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,,,,,,
Premier Kid's Crochet Socks Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-kids-crochet-socks-free-download/,F01493,,,Crochet,Intermediate,F01493  Crochet Intermediate,"Keep tiny toes cozy and colorful! This kid’s crochet sock pattern goes from ordinary to extraordinary when knit in the self-patterning Premier Fruits sock yarn. This self-striping sock yarn pairs bands of solid color with speckled patterns inspired by your youngster’s favorite fruits. Crochet a pair in every color to brighten up your child’s sock drawer! Skill Level: Intermediate Size: 2-3T (4T-5T, 6-9 years, 10-13 years) Materials: Premier Yarns Fruits • Grape or Color of Choice—1 (2, 2) balls Hook: US size C-2 (2.75mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",3,4,,,,,,
Premier Watermelon Socks Crochet Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-watermelon-socks-crochet-free-download/,F01492,,,Crochet,Intermediate,F01492  Crochet Intermediate,"Keep toes cozy and colorful! This classic crochet sock pattern goes from ordinary to extraordinary when knit in the self-patterning Premier Fruits sock yarn. This self-striping sock yarn pairs bands of solid color with speckled patterns inspired by your favorite fruits. Crochet a pair in every color to brighten up your sock drawer! Skill Level: Intermediate Size: Small (Medium, Large, X-Large) Materials: Premier Yarns Fruits • Watermelon or Color of Choice—2 balls Hook: US size C-2 (2.75mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,,,,,,
Premier Kid's Knit Socks Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-kids-knit-socks-free-download/,F01494,,,Crochet,Intermediate,F01494  Crochet Intermediate,"Keep tiny toes cozy and colorful! This kid’s knit sock pattern goes from ordinary to extraordinary when knit in the self-patterning Premier Fruits sock yarn. This self-striping sock yarn pairs bands of solid color with speckled patterns inspired by your youngster’s favorite fruits. Knit a pair in every color to brighten up your child’s sock drawer! Skill Level: Intermediate Size: 6-12 months (1-2T, 2-3T, 4-5 years, 6-9 years, 10-13 years) Materials: Premier Yarns Fruits • Color of Choice—1 (1, 1, 2, 2, 2) balls Needle: US size 2 (2.75mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",2,5,,,,,,
Honey Citrine Mittens Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/honey-citrine-mittens-free-download/,W00567,,Mittens,Knit,Intermediate,W00567  4 - Medium Mittens Knit Intermediate,"Keep your hands warm this winter with an eye-catching pair of mittens with a textured geometric pattern. Knit in Willow Yarns Denim Grace Yarn, this intermediate knit mitten pattern is shown in a sunny yellow shade, but you can choose any color of the yarn to create a pair of mittens to match your winter wardrobe. The heathered tones of the worsted weight yarn add a rustic appeal to the textured pattern, keeping your winter gear chic as well as cozy. Skill Level: Intermediate Size: Circumference: 7½"" (19.1cm) Length: 9"" (22.9cm) Materials: Willow Yarns Denim Grace • 0007 Mustard—1 ball Needles: • US size 8 (5mm) dpn or size needed to obtain gauge • US size 6 (4mm) dpn Extras: Yarn needle, stitch markers, stitch holder",0,0,,,,,4 - Medium,
Welcome to Fall Carryall Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/welcome-to-fall-carryall-free-download/,W00565,,Bags & Totes,Crochet,Easy,W00565  4 - Medium Fall Autumn Bags & Totes Crochet Easy,"Accessorize for fall and keep your essentials close with this cute crocheted caryall! This fun little bag crocheted in autumn hues of Willow Yarns Wash worsted yarn turns granny squares into a fun fashion accessory! The easy crochet bag uses two different size granny squares to create a cute little bag to let you flaunt your crochet skills as you enjoy the fall weather. Skill Level: Easy Size: 12½ x 6½"" (32 x 16.5cm) Materials: Willow Yarns Wash • 0010 Sage—1 ball • 0053 Red Plum—1 ball • 0056 Hazelnut—1 ball • 0028 Peanut—1 ball Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, one 25mm button, matching fabric and sewing thread for liner (optional)",0,0,Fall,Autumn,,,4 - Medium,
Universal Yarn Sugar Stripe Socks Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/universal-yarn-sugar-stripe-socks-free-download/,W00592,,Socks,Knit,Easy,W00592  Socks Knit Easy,"Step into color with this these cheerful socks! These playful socks are knit with Universal Yarn Curio in a pattern of stretchy ribbing and miniature yarnovers to create a textural pattern to keep your feet cozy and colorful. The easy sock pattern is knit from the cuff down, with an afterthought heel, that is a great introduction to making socks! The pattern includes size changes for adult small, medium, and large. Skill Level: Easy Size: 6-7½"" (15.2-19.1cm) circumference. Materials: Universal Yarn Curio • 0116 Lemon Zest—1 ball • 0134 Wisteria—1 ball • 0121 Tree Frog—1 ball • 0144 Taffy—2 ball Needles: US size 1 (2.25mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch marker, stitch holder",1,4,,,,,,
Lion Brand Striped Coasters Macramé Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/lion-brand-striped-coasters-macrame-free-download/,L22193,,Coasters,Macrame,Beginner,L22193  Coasters Macrame Beginner,"Add a boho vibe to your home with these striped macramé coasters! This beginner-level pattern is the perfect introduction to the revived art of macramé. This simple striped pattern created with Lion Brand Mac-Re-Me yarn uses basic knots to create the angled stripe pattern of these fringe-trimmed coasters. Pattern includes complete instructions with stitch diagrams. The yarn amounts listed will be sufficient to make multiple coasters. Skill Level: Beginner Size: Approx 4½ x 4¼"" (11.5 x 11cm) Materials: Lion Brand Mac-Re-Me • 0098 Natural—1 ball • 0102 Sweet Pink—1 ball • 0127 Cinnabar—1 ball • 0109 Denim—1 ball",0,0,,,,,,
