title,image,product_link,sku:,upc:,project_type:,skill:,difficulty:,info,description,review_count,star_rating,occasion:,season:,theme:,fiber_content:,yarn_weight:,thread_size:
Village Yarn Blue Burst Pot Holders Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/village-yarn-blue-burst-pot-holders-free-download/,F01729,,Pot Holders,Crochet,Easy,F01729  Pot Holders Crochet Easy,"Brighten your kitchen with a splash of color! These pretty and practical pot holders pair solid and multi shades of Village Yarn Craft Cotton yarn to create a beautiful blend of color and texture that makes each petite project a work of hand-stitched art. Stitch the easy crochet pot holder pattern in the blue shades shown, or change up the colors to match your kitchen décor. The pair also makes a thoughtful housewarming gift! Skill Level: Easy Size: 9 x 9"" (22.9 x 22.9cm) Materials: Village Yarn™ Craft Cotton • 5090 Seaside—2 balls • 5007 Blueberry—2 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,,,,,,
Willow Yarns Garden Song Shawlette Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-garden-song-shawlette-free-download/,F01728,,Shawl,Knit,Easy,F01728  Shawl Knit Easy,"Be ready for backyard garden parties with this lovely little shawlette. The easy knit design trimmed with a pattern of lacy diamonds pairs well with a sundress or a long-sleeve tee for a more casual look. Stitch it in the Wildflowers shade shown or pick another self-striping colorway of Willow Yarns Sylvan yarn for a look entirely your own. Skill Level: Easy Size: •Depth in center: 12"" (30cm) • Width from end to end: 48"" (122cm) Materials: Willow Yarns™ Sylvan • 1003 Wildflowers—3 balls Needles: • US size 10 (6mm) 32"" circular needle or size needed to obtain gauge • US size 11 (8mm) 32"" circular needle (cast on only) Extras: Yarn needle",0,0,,,,,,
Herrschners English Garden Doily Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-english-garden-doily-free-download/,F01727,,Doily,Crochet,Easy,F01727  Doily Crochet Easy,"No green thumb is needed to grow a garden of tiny blossoms to beautify your tabletop. This easy crochet doily pattern blends vintage lace with cheery flower appliqués for a tabletop garden that modernizes the vintage aesthetic for today’s modern stitchers. Stitch the doily in the shades of Herrschners Afghan Yarn shown, or switch up the flower color to match your décor. Skill Level: Easy Size: 26"" (66cm). Materials: Herrschners Afghan Yarn • 0019 Cream—2 balls • 0034 Grass—1 ball • 0041 Blossom—1 ball • 0042 French Pink—1 ball • 0027 Light Teal—1 ball • 0026 Marigold—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers",0,0,,,,,,
Herrschners Shamrock Glow Blanket Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-shamrock-glow-blanket-free-download/,F01726,,Blanket,Crochet,Easy,F01726  St. Patrick's Day Blanket Crochet Easy,"It’s your lucky day! This free easy crochet blanket pattern makes stitching fun and easy with self-striping yarn for fewer ends to weave in. Herrschners Worsted 8 Celebrate yarn makes color changes effortless as you crochet a field of shell stitches embellished with a hint of magical sparkle. Stitch it in the St. Patrick’s Day colorway shown, or pick any other shade from the Herrschners Worsted 8 line to make this dazzling design your own! Skill Level: Easy Size: 38 x 58"" (97 x 147cm) Materials: Herrschners Worsted 8 Celebrate Sparkle • 4002 Lucky Charm—4 balls Hook: US size J-10 (6mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,St. Patrick's Day,,,,,
Herrschners Tilework Bottle Carriers - Set of 2 Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-tilework-bottle-carriers-set-of-2-free-download/,F01725,,Fashion Accessories & Novelties,Crochet,Intermediate,F01725  Fashion Accessories & Novelties Crochet Intermediate,"Stay hydrated on the go with these cute and colorful bottle carriers! Made in two different colorways, this pair of easy crochet bottle carriers pair solid and multi shades of Herrschners Afghan Yarn for an eye-catching look in any colorway you choose. Constructed from square motifs, these fun and easy designs are designed to fit 16-20 oz bottles and feature a long carrying handle for hands-free carrying. Stitch the design in the vibrant colors shown, or try other colorways for a one-of-a-kind look. Skill Level: Easy Size: Fits 16-20 oz bottle Materials: Herrschners Afghan Yarn Teal Version: • 0001 White—1 ball • 0028 Teal—1 ball • 1009 Indigo Tide—1 ball Pink Version: • 0001 White—1 ball • 0042 French Pink—1 ball • 1008 Summer Sunset—1 ball Hook: US size E-4 (3.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",1,5,,,,,,
Willow Yarns Muted Melody Cowl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-muted-melody-cowl-free-download/,F01724,,Cowl,Crochet,Intermediate,F01724  Cowl Crochet Intermediate,"Cozy up to colorwork with this exquisitely detailed design. The intermediate knit cowl uses a repeating slip stitch pattern worked two shades at a time to create the fanciful filigree pattern in a gradient of muted hues. Stitched in Willow Yarns Farmhouse Cotton yarn, the light weight cowl is perfect for spring days. Skill Level: Intermediate Size: 7 x 44"" (17.8 x 112cm) Materials: Willow Yarns™ Farmhouse Cotton • 0030 Dusk—2 balls • 0053 Viridian—2 balls • 0049 Dusty Rose—2 balls Needles: US size 10 (6mm) straight needles or size needed to obtain gauge Extras: Yarn needle",1,4,,,,,,
Willow Yarns Lovey Dovey Dishcloths Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-lovey-dovey-dishcloths-free-download/,F01723,,Dishcloth,Crochet,Intermediate,F01723  Dishcloth Crochet Intermediate,"Add an extra dash of love to the heart of your home! This lovely and lacy set of heart-shaped dishcloths re-creates the look of vintage valentines in modern shades of Willow Meadow yarn for a fresh take on the doily aesthetic. The mix of solid and striped motifs in this intermediate crochet pattern makes a set of six unique designs while keeping the set coordinated as a lovely gift for Valentine’s Day, a bridal shower, or a housewarming party. Skill Level: Intermediate Size: 9"" (22.9cm) dia. Materials: Willow Yarns™ Meadow • 0023 Tidepool—3 balls • 0021 Poppy—3 balls • 0034 Coral Bell—3 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,5,,,,,,
Soho Sugar Sky Earflap Hat Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-sugar-sky-earflap-hat-free-download/,F01722,,Hat,Crochet,Easy,F01722  Hat Crochet Easy,"Keep cozy and colorful on cold-weather days. This easy crochet earflap hat enlivens your winter wardrobe with the bright and bold colorways of Soho Lively Bold yarn. This self-striping light weight yarn makes this easy crochet hat pattern even easier, as they stripes appear effortlessly as you stitch—with only a few ends to weave in! Top it off with a fun faux fur pom-pom for a playful finish. Skill Level: Easy Size: 20"" (51cm) circumference Materials: Soho Lively Bold • 4005 Mermaid—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, tapestry needle, 2"" faux fur pom-pom",0,0,,,,,,
Herrschners Stitch & Switch Tote Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-stitch-switch-tote-free-download/,F01721,,Bags & Totes,Crochet,Easy,F01721  Bags & Totes Crochet Easy,"Be tote-ally on trend with this granny square bag. The quick and easy crochet pattern made from two large granny square motifs is stitched in bright and bold shades of Herrschners Supreme Worsted yarn for a fabulously fun way to carry your essentials. Stitch it in the pretty-in-pink colorway shown, or mix it up with your favorite colors for a look entirely your own. Skill Level: Easy Size: 13 x 14"" (33 x 36cm) Materials: Herrschners® Supreme Worsted • 0054 Paradise—1 ball • 0024 Pearl—1 ball • 0020 Onyx—1 ball • 0055 Papaya—1 ball • 0004 Geranium—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,5,,,,,,
Herrschners Fin-tastic Purse Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-fin-tastic-purse-free-download/,F01708,,Tote,Crochet,Intermediate,F01708  Tote Crochet Intermediate,"Swim around town with a fishy friend to carry your essentials. This adorable amigurumi-inspired purse shaped like a fish makes a fashion accessory fabulously fun for any beach lover or wanna-be mermaid. The intermediate crochet design stitched pairs Herrschners Cheerful DK yarn with the self-striping Herrschners Sweet Swirls yarn to create rainbow scales and fins without having to change colors with every row. Skill Level: Intermediate Size: Approx 12 x 8½"" (30 x 21.5cm) Materials: Herrschners Cheerful DK • 0007 Yellow Daisy—1 ball Herrschners Sweet Swirls • 0002 Beach Ball—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers, two 15mm safety eyes, fiberfill (small amount for eyes)",1,5,,,,,,
Soho Sunset Serenade Set Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-sunset-serenade-set-free-download/,F01707,,Hat,Knit,Easy,F01707  Hat Knit Easy,"Keep cozy and colorful on cold-weather days with coordinating set. This free easy knit hat and scarf pattern stitched in Soho Haze yarn uses simple slip stitch patterns to create a stair step geometric pattern that looks intricate but is easy enough for beginners. Stitch the pair in the icy blue and orange shades shown to brighten your look, or switch to shades to match your winter wardrobe. Skill Level: Easy Size: Hat: 20"" (51cm) circumference x 8"" (20.3cm) tall Scarf: 6 x 60"" (15.2 x 152cm) Materials: Soho Haze Yarn • 1108 Creamsicle—2 balls • 1118 Iceberg—2 balls Needles: • US size 8 (5mm) 16"" circular needle or size needed to obtain gauge • US size 8 (5mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",1,4,,,,,,
Herrschners Shadow Petals Shawl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-shadow-petals-shawl-free-download/,F01706,,Shawl,Crochet,Intermediate,F01706  Shawl Crochet Intermediate,"This fabulously fun shawl is pretty in pink and oh-so chic! The bright and bold design crocheted in Herrschners Supreme Worsted yarn pairs vivid pink with dramatic black and light gray stripes that end in a playful looped edge. Carrying the yarn along the top edge greatly reduces the number of ends to weave in as you stitch this intermediate crochet shawl. Not a pink fan? Swap out that color with your favorite vibrant shade of Herrschners Supreme Worsted yarn for a look entirely your own. Skill Level: Intermediate Size: 72 x 27"" (183 x 69cm) Materials: Herrschners Supreme Worsted • 0004 Geranium—3 balls • 0020 Onyx—2 balls • 0022 Grey—2 balls Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch marker",1,5,,,,,,
Willow Yarns Gingham Wreath Towel Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-gingham-wreath-towel-free-download/,F01705,,Towels,Crochet,Easy,F01705  Christmas Towels Crochet Easy,"Stitch up some holiday spirit for the kitchen. This festive towel design pairs a berry-covered wreath with holiday gingham for a fun and functional holiday project. The easy crochet towel pattern stitched in Willow Yarns Meadow yarn is a thoughtful gift for the holiday hostess, but don’t forget to make one for yourself, too! Skill Level: Easy Size: 14 x 20"" (36 x 51cm) Materials: Willow Yarns™ Meadow • 0002 Cream—3 balls • 0032 Pines—1 ball • 0033 Dark Cherry—1 ball Hook: US size 7 (4.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle two 15mm matching buttons (optional)",0,0,Christmas,,,,,
Department 71 Snowflake Scarf Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/department-71-snowflake-scarf-free-download/,F01704,,Scarf,Crochet,Intermediate,F01704  Scarf Crochet Intermediate,"Bundle up in a blizzard of sparkling snowflakes! Stitched in the shimmering Department 71 Holiday Lights yarn, this lacy snowflake scarf keeps you cozy and colorful with a dash of winter whimsy and a mighty metallic sparkle. The intermediate crochet scarf pattern is worked one snowflake motif at a time, then joined together before adding scalloped border for a fun and fabulous finish. Skill Level: Intermediate Size: Approx 12 x 74"" (30 x 188cm) Materials: Department 71 Holiday Lights • 0001 Snowball—2 balls • 0007 Turquoise—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, monofilament (for hangers)",2,4,,,,,,
Herrschners Frosted Fir Shawl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-frosted-fir-shawl-free-download/,F01703,,Shawl,Crochet,Easy,F01703  Christmas Shawl Crochet Easy,"Sparkling stripes keep you warm with a hint of winter whimsy. This stunning shawl transforms a simple design into a chic statement piece by stitching the easy crochet pattern in Herrschners Worsted 8 Holiday Sparkle yarn. The self-striping yarn creates effortless color changes—without all those ends to weave in! Choose your favorite shimmering colorway to make this shawl your own. Skill Level: Easy Size: 69 x 24"" (175 x 61cm) Materials: Herrschners Worsted 8 Holiday Sparkle • 4006 Flocked Tree—2 balls Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,3,Christmas,,,,,
Herrschners Autumn Spice Beanie Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-autumn-spice-beanie-free-download/,F01702,,Hat,Knit,Easy,F01702  Autumn Hat Knit Easy,"Spice up your cold-weather wardrobe! Wonderfully soft and warm, this classic striped beanie stitched in autumnal tones of Herrschners Supreme Worsted yarn makes the perfect fall fashion accessory. Or, you can switch up the look by stitching the intermediate knit pattern in whimsical winter hues perfect for snowy days. Skill Level: Intermediate Size: 21"" (53cm) circumference Materials: Herrschners® Supreme Worsted • 0006 Penny—1 ball • 0018 Royal Purple—1 ball • 0055 Papaya—1 ball Needles: • US size 9 (5.5mm) 16"" circular needle or size needed to obtain gauge • US size 9 (5.5mm) double pointed needles or size needed to obtain gauge Extras: Yarn needle, stitch makers, pom-pom maker (optional)",1,4,,Autumn,,,,
Herrschners Frosty Fluffy Pillow Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-frosty-fluffy-pillow-free-download/,F01701,,Pillow,Crochet,Easy,F01701  Pillow Crochet Easy,"A winter wonderland has never been so cozy! This easy crochet pillow brings a flurry of fun to your sitting area with an oversized snowflake motif stitched using the corner-to-corner technique. The two-color pattern pairs white Herrschners Worsted 8 yarn with a dappled shade of Herrschners Worsted 8 Specks to brighten winter blues with a cheerful pop of color. Skill Level: Easy Size: 16 x 16"" (41 x 41cm) Materials: Herrschners Worsted 8 Specks • 8003 Raindrops—1 ball Herrschners Worsted 8 • 1001 White—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, 16 x 16"" pillow form",0,0,,,,,,
Herrschners Granny Gems Hooded Scarf Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-granny-gems-hooded-scarf-free-download/,F01700,,Scarf,Crochet,Easy,F01700  Scarf Crochet Easy,"Wrap up on cold-weather days in a warm hug from granny! This easy crochet hooded scarf is cleverly constructed from granny squares for an on-trend way to stay cozy when the temperature drops. You can stitch the simple granny square pattern in the bejeweled shades shown, or try any other shades from the Herrschners worsted 8 line to create a look entirely your own! Skill Level: Easy Size: 81"" (206cm) Materials: Herrschners Worsted 8 • 1037 Peachy—1 ball • 1003 Aran—1 ball • 1070 Plum Wine—1 ball • 1074 Ochre—1 ball Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers",4,5,,,,,,
Premier Copper Kettle Vest Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/premier-copper-kettle-vest-free-download/,F01709,,Garments,Crochet,Intermediate,F01709  Garments Crochet Intermediate,"Layer up in hand-stitched comfort with this casual chic vest. The intermediate crochet design is worked in two halves from the center back out using a textured waffle stitch pattern that brings dimension to the finished vest. Stitched in a shimmering gradient shade of Premier Anti-Pilling Everyday Worsted yarn, this simple design with a hint of glitz will be your new go-to for home or the office. Skill Level: Intermediate Size: XS/S (M/L, 1X/2X, 3X/4X, 5X) Bust: 42¾ (49¾, 60½, 67½, 71)"" [109 (126, 154, 171, 180)cm], not including Collar/Hem Length: 24 (27¼, 28¾, 30½, 31¼)"" [61 (69, 73, 77, 79)cm], not including Collar/ Hem Materials: Premier Anti-Pilling Everyday Worsted Gradient Glitter Yarn • 0002 Terra Cotta Tones—5 (5, 5, 7, 7) balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, ball pins",0,0,,,,,,
Herrschners Monarch Ripple Wrap Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-monarch-ripple-wrap-free-download/,F01699,,Wrap,Crochet,Easy,F01699  Autumn Wrap Crochet Easy,"Wrap up in the colors of fall! This gorgeous easy crochet wrap keeps you cozy on a chilly fall day with broad ripples that add a pop of color to your outfit. Stitched in Stitched in three autumnal shades of Herrschners Cottage Cotton yarn, the easy crochet pattern modernizes the classic ripple look with broad bands of color finished with long fringe for on-trend style. Skill Level: Easy Size: 14 x 56"" (36 x 142cm) Materials: Herrschners Cottage Cotton • 0017 Merlot—1 ball • 0009 Hilltop—1 ball • 0020 Fired Clay—1 ball Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",0,0,,Autumn,,,,
Soho Lunara Cowl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-lunara-cowl-free-download/,F01698,,Cowl,Crochet,Intermediate,F01698  Cowl Crochet Intermediate,"Layer up in luxury! Stitched in supremely soft Soho Skwishy yarn, this intermediate crochet cowl stitches up quickly with rows of puff stitches for a bright and bold way to keep cozy on cold-weather days. Stitch it in the regal shade of blue shown, or pick another color of Soho Skwishy for a look entirely your own. Skill Level: Intermediate Size: 12 x 58"" (30 x 147cm) Materials: Soho Skwishy • 1027 Cobalt—6 balls Hook: US size M-13 (9mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,5,,,,,,
Soho Little Legends Caps Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-little-legends-caps-free-download/,F01697,,Hats,Crochet,Intermediate,F01697  Hats Crochet Intermediate,"Transform into fairytale creatures! Perfect for costumes or whimsical winter days, these soft and cozy caps stitched in Soho Skwishy yarn are designed with playful details like unicorn horns or dinosaur spikes that make bundling up fun. The intermediate crochet pattern includes instructions for both the unicorn and dinosaur designs. The finished caps measure 20"" (51cm) circumference, perfectly sized to fit both kids and kids at heart. Skill Level: Intermediate Size: 20"" (51cm) circumference Materials: Unicorn: Soho Skwishy • 1001 Polar Bear—2 balls Soho Skwishy Spots • 2003 Enchanted—1 ball Dinosaur: Soho Skwishy • 1016 Froggy—2 balls • 1028 Lime Zest—1 ball Hook: US size L-11 (8mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",2,2,,,,,,
Willow Yarns Diagonal Drift Scarf Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/willow-yarns-diagonal-drift-scarf-free-download/,F01696,,Scarf,Crochet,Intermediate,F01696  Scarf Crochet Intermediate,"Cold-weather fashion goes big and bold with this vibrant blanket scarf design. The intermediate crochet pattern stitched in Willow Yarns Freesia Cotton yarn pairs the self-striping yarn with elongated stitches to create mesmerizing color effects that zigzag across the crochet scarf for a fabulously fun look. Stitch the pattern in the colorway shown, or choose another self-striping colorway to create a look entirely your own! Skill Level: Intermediate Size: 11½ x 56"" (29 x 142cm), not including fringe Materials: Willow Yarns™ Freesia Cotton • 2001 Gilded Garden—5 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, locking stitch markers",1,4,,,,,,
Soho Pumpkin Spice Set Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-pumpkin-spice-set-free-download/,F01695,,Home Décor,Crochet,Intermediate,F01695  Fall Home Décor Crochet Intermediate,"Spice up your fall décor with a pile of hand-stitched pumpkins! This intermediate crochet pumpkin pattern is stitched in Soho Skwishy yarn, giving the finished pumpkins a velvety soft texture for a boutique look. The yarn requirements listed will make pumpkins in three different sizes using three different colors, creating a bountiful harvest of chic and stylish pumpkins perfect for a cozy fall aesthetic. Skill Level: Intermediate Size: 5½ (6½, 9)"" [14 (16.2, 22.9)cm] wide Materials: Soho Skwishy • 1020 Teddy—4 balls • 1023 Driftwood—4 balls • 1011 Honey Bee—4 balls Herrschners Plastic Canvas Yarn—25 Yard Hank • 0037 Medium Brown—1 hank Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, polyester fiberfill",6,5,Fall,,,,,
Soho Nutmeg Beanie Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/soho-nutmeg-beanie-free-download/,F01694,,Hat,Crochet,Easy,F01694  Hat Crochet Easy,"Spice up your cold-weather wardrobe! This easy crochet beanie stitched in Soho Skwishy yarn is a velvety soft way to keep cozy when the temperature drops. The pattern works up quickly in the bulky weight yarn, making it perfect for a last-minute gift or a quick way to change up your look this winter. Stitch it in the warm tones shown, or pick any colors of Soho Skwishy to make a look entirely your own. Skill Level: Easy Size: 20"" (51cm) circumference Materials: Soho Skwishy • 1003 Sandcastle—1 ball • 1011 Honey Bee—2 balls Hook: US size I-9 (5.5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, pom-pom",3,5,,,,,,
Herrschners Crispwood Cowl Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-crispwood-cowl-free-download/,F01693,,Cowl,Knit,Intermediate,F01693  Autumn Cowl Knit Intermediate,"Fair isle gets a fabulous fall makeover in this this colorwork cowl stitched in rich autumn hues. The intermediate knit cowl is stitched in fine weight Herrschners Afghan yarn, alternating bands of solid color with geometric patterns that keep stitching lively. As the design is worked in the round, all of the color floats stay hidden inside for a crisp and clean finished look. Skill Level: Intermediate Size: • Width: 9"" (22.9cm) • Circumference: 36"" (91cm) Materials: Herrschners Afghan Yarn • Burgundy—2 balls • Cider—1 ball • Wheat—1 ball Needles: • US size 6 (4mm) 16"" circular needle or size needed to obtain gauge • Us size 7 (4.5mm) 16"" circular needle or size needled to obtain gauge Extras: Yarn needle, stitch makers, crochet hook (for provisional cast on)",1,5,,Autumn,,,,
Herrschners Mermaid Magic Purse Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-mermaid-magic-purse-free-download/,F01692,,Bags & Totes,Crochet,Intermediate,F01692  Bags & Totes Crochet Intermediate,"Dive into a world of whimsy wherever you go with this mermaid inspired bag. Perfectly sized for carrying your essentials, this magical little purse features scale-like stitches to mimic the look of a mermaid tail. Stitch the intermediate crochet purse pattern in the dreamy colors shown, or choose a brighter colorway of Herrschners Sweet Swirls yarn for a bolder look. Skill Level: Intermediate Size: 8½ x 9½"" (21.6 x 24.1cm), not including handles Materials: Herrschners® Sweet Swirls • 0010 Fresh Air—1 ball Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle",1,5,,,,,,
Herrschners Misty Morning Slippers Free Download,https://cdn11.bigcommerce.com/s-wgzqwlngdf/stencil/ab449a50-f0cf-013e-5e2b-5ed83393b97d/e/64afe2e0-ee3d-013e-27fb-663b0695045a/img/loading.svg,https://herrschners.com/herrschners-misty-morning-slippers-free-download/,F01691,,Slippers,Crochet,Easy,F01691  Slippers Crochet Easy,"Step into coziness! Perfect for chilly nights or days that need a little extra pampering and self-care, these easy crochet slippers keep your toes toasty and colorful. The boot-like design comes in two sizes options for customized comfort easily adjusted to the foot and leg size that fits you best. Choose the shades of Herrschners Worsted 8 yarn shown, or switch up the look by choosing a different multi and coordinating solid. Skill Level: Easy Size: • Women’s S/M: 8½"" (21.6cm) long  x 8"" (20.3cm) circumference • Women’s L/XL: 10"" (25cm) long x 9½"" (24.1cm) circumference Materials: Herrschners Worsted 8 • 2029 Rainy Day—1 ball • 1034 Aquamarine—1 ball Hook: US size H-8 (5mm) crochet hook or size needed to obtain gauge Extras: Yarn needle, stitch marker",2,5,,,,,,
