product_link,title,sku,upc,project_type,skill,difficulty,merged_info,description,review_count,star_rating,image_url,local_path,occasion,season,theme,fiber_content,yarn_weight,thread_size,full_description
https://herrschners.com/patriotic-tote-knit-pattern-free-download/,Patriotic Tote Knit Pattern,W00462,,Bags & Totes,Knit,Easy,W00462  6 - Super Bulky Bags & Totes Knit Easy,"Carry summertime essentials in a cute patriotic tote! Skill Level: Easy Size: 9½"" x 11"" (24.1cm x 28cm) Materials: • 0008 Ruby—1 ball • 0001 Sand—1 ball • 0009 Admiral—1 ball Needle: US size 13 (9mm) circular needle or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41364/103499/W00462__09006.1693491048.jpg?c=1,../data/images/Patriotic_Tote_Knit_Pattern.jpg,,,,,6 - Super Bulky,,"Patriotic Tote Knit Pattern Carry summertime essentials in a cute patriotic tote! Skill Level: Easy Size: 9½"" x 11"" (24.1cm x 28cm) Materials: • 0008 Ruby—1 ball • 0001 Sand—1 ball • 0009 Admiral—1 ball Needle: US size 13 (9mm) circular needle or size needed to obtain gauge Extras: Yarn needle, stitch markers W00462  6 - Super Bulky Bags & Totes Knit Easy"
https://herrschners.com/tea-party-place-mats-crochet-pattern-free-download/,Tea Party Place Mats Crochet Pattern,W00461,,Children,Crochet,Easy,W00461  Children Crochet Easy,This sweet little crocheted place mat adds a polished touch to your place settings. Skill Level: Easy Size: 13” (33cm) dia. Materials: • 0063 Misty—2 balls • 0028 Taupe—1 ball • 0049 Dusty Rose—1 ball • 0026 Buttermilk—1 ball Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle,0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41363/103497/W00461__68551.1693491042.jpg?c=1,../data/images/Tea_Party_Place_Mats_Crochet_Pattern.jpg,,,,,,,Tea Party Place Mats Crochet Pattern This sweet little crocheted place mat adds a polished touch to your place settings. Skill Level: Easy Size: 13” (33cm) dia. Materials: • 0063 Misty—2 balls • 0028 Taupe—1 ball • 0049 Dusty Rose—1 ball • 0026 Buttermilk—1 ball Hook: US size G-6 (4mm) crochet hook or size needed to obtain gauge Extras: Yarn needle W00461  Children Crochet Easy
https://herrschners.com/girls-summer-sun-hat-knit-pattern-free-download/,Girl's Summer Sun Hat Knit Pattern,W00460,,Hats,Knit,Easy,W00460  4 - Medium Summer Hats Knit Easy,"This sweet striped hat is breathable for summer days. Skill Level: Easy Size: Circumference: Approx 18"" (46cm), will stretch to fit a range of sizes
Length: Approx 9"" (22.9cm) Materials: • 0034 Coral Bell—1 ball • 0037 Gooseberry—1 ball • 0016 Phlox—1 ball Needle: • US size 7 (4.5mm) circular needle or size needed to obtain gauge • US size 7 (4.5mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41362/103496/W00460__55348.1693491037.jpg?c=1,../data/images/Girls_Summer_Sun_Hat_Knit_Pattern.jpg,,Summer,,,4 - Medium,,"Girl's Summer Sun Hat Knit Pattern This sweet striped hat is breathable for summer days. Skill Level: Easy Size: Circumference: Approx 18"" (46cm), will stretch to fit a range of sizes
Length: Approx 9"" (22.9cm) Materials: • 0034 Coral Bell—1 ball • 0037 Gooseberry—1 ball • 0016 Phlox—1 ball Needle: • US size 7 (4.5mm) circular needle or size needed to obtain gauge • US size 7 (4.5mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers W00460  4 - Medium Summer Hats Knit Easy"
https://herrschners.com/nadira-fingerless-gloves-crochet-pattern-free-download/,Nadira Fingerless Gloves Crochet Pattern,W00459,,Gloves & Mittens,Crochet,Intermediate,W00459  1 - Super Fine Gloves & Mittens Crochet Intermediate,"These simple little fingerless mitts are made special with a subtle gradient created by Willow Dahlia yarn. Skill Level: Intermediate Size: 7½"" (19.1cm) circumference Materials: • 0023 Grasslands—2 balls Hook: US size D-3 (3.25mm)or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41361/103495/W00459__90746.1693491032.jpg?c=1,../data/images/Nadira_Fingerless_Gloves_Crochet_Pattern.jpg,,,,,1 - Super Fine,,"Nadira Fingerless Gloves Crochet Pattern These simple little fingerless mitts are made special with a subtle gradient created by Willow Dahlia yarn. Skill Level: Intermediate Size: 7½"" (19.1cm) circumference Materials: • 0023 Grasslands—2 balls Hook: US size D-3 (3.25mm)or size needed to obtain gauge Extras: Yarn needle, stitch markers W00459  1 - Super Fine Gloves & Mittens Crochet Intermediate"
https://herrschners.com/fun-summer-pillow-knit-pattern-free-download/,Fun Summer Pillow Knit Pattern,W00458,,Pillows & Pillowcases,Knit,Easy,W00458  4 - Medium Summer Pillows & Pillowcases Knit Easy,"This bright and simple pillow design is livened up with boho-chic fringe. Skill Level: Easy Size: Approx 12"" x 12"" (30cm x 30cm) Materials: • 0038 Peach Blossom—1 ball • 0036 Lucid—1 ball • 0037 Peony—1 ball Needles: US size 7 (4.5mm) straight needles or size needed to obtain gauge Extras: Yarn needle, 3"" (7.6cm) piece of cardboard, 12"" x 12"" (30cm x 30cm) pillow form",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41360/103494/W00458__90764.1693491027.jpg?c=1,../data/images/Fun_Summer_Pillow_Knit_Pattern.jpg,,Summer,,,4 - Medium,,"Fun Summer Pillow Knit Pattern This bright and simple pillow design is livened up with boho-chic fringe. Skill Level: Easy Size: Approx 12"" x 12"" (30cm x 30cm) Materials: • 0038 Peach Blossom—1 ball • 0036 Lucid—1 ball • 0037 Peony—1 ball Needles: US size 7 (4.5mm) straight needles or size needed to obtain gauge Extras: Yarn needle, 3"" (7.6cm) piece of cardboard, 12"" x 12"" (30cm x 30cm) pillow form W00458  4 - Medium Summer Pillows & Pillowcases Knit Easy"
https://herrschners.com/lucinee-cowl-knit-pattern-free-download/,Lucinee Cowl Knit Pattern,W00456,,Shawls & Wraps,Knit,Easy,W00456  3 - Light Shawls & Wraps Knit Easy,"Self-striping yarn takes on a mottled appearance with the simple slip stitched pattern of this texturized shawlette. Skill Level: Intermediate Size: 20 x 40"" (51 x 102cm) Materials: • 0065 Peony Patch—3 balls Needle: US size 6 (4mm) 24"" circular needle or size needed to obtain gauge Extras: Yarn needle, three 1¾"" (45mm) buttons",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41359/103493/W00456__84300.1693491022.jpg?c=1,../data/images/Lucinee_Cowl_Knit_Pattern.jpg,,,,,3 - Light,,"Lucinee Cowl Knit Pattern Self-striping yarn takes on a mottled appearance with the simple slip stitched pattern of this texturized shawlette. Skill Level: Intermediate Size: 20 x 40"" (51 x 102cm) Materials: • 0065 Peony Patch—3 balls Needle: US size 6 (4mm) 24"" circular needle or size needed to obtain gauge Extras: Yarn needle, three 1¾"" (45mm) buttons W00456  3 - Light Shawls & Wraps Knit Easy"
https://herrschners.com/everyday-scrunchies-knit-pattern-free-download/,Everyday Scrunchies Knit Pattern,W00455,,Fashion Accessories & Novelties,Knit,Easy,W00455  3 - Light Fashion Accessories & Novelties Knit Easy,"Show off your stitching skills when you accessorize with fun and easy knit scrunchies. Skill Level: Easy Size: Approx 4-5"" (10.2-12.7cm) Materials: • 0018 Antique Gold—1 ball • 0032 Coral Berry—1 ball • 0008 Shell—1 ball • 0013 Steel—1 ball • 0001 Snow—1 ball Needles: US size 8 (5mm) straight needles or dpn or size needed to obtain gauge Extras: Yarn needle, five 2"" (5cm) hair ties, locking stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41358/103492/W00455__06522.1693491016.jpg?c=1,../data/images/Everyday_Scrunchies_Knit_Pattern.jpg,,,,,3 - Light,,"Everyday Scrunchies Knit Pattern Show off your stitching skills when you accessorize with fun and easy knit scrunchies. Skill Level: Easy Size: Approx 4-5"" (10.2-12.7cm) Materials: • 0018 Antique Gold—1 ball • 0032 Coral Berry—1 ball • 0008 Shell—1 ball • 0013 Steel—1 ball • 0001 Snow—1 ball Needles: US size 8 (5mm) straight needles or dpn or size needed to obtain gauge Extras: Yarn needle, five 2"" (5cm) hair ties, locking stitch markers W00455  3 - Light Fashion Accessories & Novelties Knit Easy"
https://herrschners.com/barefoot-beach-sandals-knit-pattern-free-download/,Barefoot Beach Sandals Knit Pattern,W00454,,Fashion Accessories & Novelties,Knit,Easy,W00454  4 - Medium Fashion Accessories & Novelties Knit Easy,"Get ready for summer and show off your knitting skills at the beach with these fun little sandals. Skill Level: Easy Size: 3"" (7.6cm) wide x 3¾"" high (9.5cm) Materials: • 0023 Tropical River—1 ball Needles: US size 7 (4.5mm) straight needles or dpn or size needed to obtain gauge Extras: Yarn needle",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41357/103491/W00454__87110.1693491011.jpg?c=1,../data/images/Barefoot_Beach_Sandals_Knit_Pattern.jpg,,,,,4 - Medium,,"Barefoot Beach Sandals Knit Pattern Get ready for summer and show off your knitting skills at the beach with these fun little sandals. Skill Level: Easy Size: 3"" (7.6cm) wide x 3¾"" high (9.5cm) Materials: • 0023 Tropical River—1 ball Needles: US size 7 (4.5mm) straight needles or dpn or size needed to obtain gauge Extras: Yarn needle W00454  4 - Medium Fashion Accessories & Novelties Knit Easy"
https://herrschners.com/tranquil-spa-set-knit-pattern-free-download/,Tranquil Spa Set Knit Pattern,W00448,,Bathroom,Knit,Intermediate,W00448  Bathroom Knit Intermediate,"Pamper yourself with a trio of lacy spa accessories knit in serene hues of Willow Tranquility yarn. Skill Level: Intermediate Size: Eye Pillow: 10 x 4"" (25 x 10.2cm) Jewelry Bag: 4½ x 7¼"" (11.4 x 18.4cm) Sachet: 5 x 4"" (12.7 x 10.2cm) Materials: • 0102 Beach House—1 cake Needles: US size 6 (4mm) straight needles or size needed to obtain gauge Extras: Yarn needle, ¼ yard lavender fabric for lining, rice and lavender for filling, sewing needle and thread",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41351/103484/W00448__81410.1693490982.jpg?c=1,../data/images/Tranquil_Spa_Set_Knit_Pattern.jpg,,,,,,,"Tranquil Spa Set Knit Pattern Pamper yourself with a trio of lacy spa accessories knit in serene hues of Willow Tranquility yarn. Skill Level: Intermediate Size: Eye Pillow: 10 x 4"" (25 x 10.2cm) Jewelry Bag: 4½ x 7¼"" (11.4 x 18.4cm) Sachet: 5 x 4"" (12.7 x 10.2cm) Materials: • 0102 Beach House—1 cake Needles: US size 6 (4mm) straight needles or size needed to obtain gauge Extras: Yarn needle, ¼ yard lavender fabric for lining, rice and lavender for filling, sewing needle and thread W00448  Bathroom Knit Intermediate"
https://herrschners.com/delilah-slouchy-knit-pattern-free-download/,Delilah Slouchy Knit Pattern,W00446,,Hats,Knit,Intermediate,W00446  Hats Knit Intermediate,"Play with texture as you create this slouchy knit hat with a gradient of soft stripes. Skill Level: Intermediate Size: Circumference: 20"" (51cm) Materials: • 0018 Lavish Lilac—1 cake Needles: • US size 6 (4mm) 16"" circular needle or size needed to obtain gauge • US size 6 (4mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers",0,0,https://cdn11.bigcommerce.com/s-wgzqwlngdf/images/stencil/728x728/products/41349/103482/W00446__18446.1693490972.jpg?c=1,../data/images/Delilah_Slouchy_Knit_Pattern.jpg,,,,,,,"Delilah Slouchy Knit Pattern Play with texture as you create this slouchy knit hat with a gradient of soft stripes. Skill Level: Intermediate Size: Circumference: 20"" (51cm) Materials: • 0018 Lavish Lilac—1 cake Needles: • US size 6 (4mm) 16"" circular needle or size needed to obtain gauge • US size 6 (4mm) dpn or size needed to obtain gauge Extras: Yarn needle, stitch markers W00446  Hats Knit Intermediate"
